Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet [CoCA],Cost of a nutrient adequate diet [CoNA],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of fruits [CoHD_f],Cost of vegetables [CoHD_v],Cost of starchy staples [CoHD_ss],Cost of animal-source foods [CoHD_asf],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of oils and fats [CoHD_of],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Population [Pop]
Food Prices for Nutrition 1.1,FPN 1.1,"Hong Kong SAR, China",HKG,2020,YR2020,..,..,4.513,..,..,..,..,..,..,..,..,..,4.029,..,..,..,..,..,7481000
Food Prices for Nutrition 1.1,FPN 1.1,Hungary,HUN,2020,YR2020,..,..,3.488,..,..,..,..,..,..,..,..,..,3.114,..,..,..,..,2.2,9750149
Food Prices for Nutrition 1.1,FPN 1.1,Iceland,ISL,2020,YR2020,..,..,2.414,..,..,..,..,..,..,..,..,..,2.155,..,..,..,..,0,366463
Food Prices for Nutrition 1.1,FPN 1.1,India,IND,2020,YR2020,..,..,2.97,..,..,..,..,..,..,..,..,..,2.652,..,..,..,..,72.2,1396387127
Food Prices for Nutrition 1.1,FPN 1.1,Indonesia,IDN,2020,YR2020,..,..,4.466,..,..,..,..,..,..,..,..,..,3.988,..,..,..,..,71.3,271857970
Food Prices for Nutrition 1.1,FPN 1.1,"Iran, Islamic Rep.",IRN,2020,YR2020,..,..,3.55,..,..,..,..,..,..,..,..,..,3.17,..,..,..,..,24.1,87290193
Food Prices for Nutrition 1.1,FPN 1.1,Iraq,IRQ,2020,YR2020,..,..,3.54,..,..,..,..,..,..,..,..,..,3.161,..,..,..,..,15,42556984
Food Prices for Nutrition 1.1,FPN 1.1,Ireland,IRL,2020,YR2020,..,..,2.225,..,..,..,..,..,..,..,..,..,1.987,..,..,..,..,0.1,4985382
Food Prices for Nutrition 1.1,FPN 1.1,Israel,ISR,2020,YR2020,..,..,2.492,..,..,..,..,..,..,..,..,..,2.225,..,..,..,..,1.2,9215100
Food Prices for Nutrition 1.1,FPN 1.1,Italy,ITA,2020,YR2020,..,..,3.144,..,..,..,..,..,..,..,..,..,2.807,..,..,..,..,2.8,59438851
Food Prices for Nutrition 1.1,FPN 1.1,Jamaica,JAM,2020,YR2020,..,..,6.681,..,..,..,..,..,..,..,..,..,5.965,..,..,..,..,60.7,2820436
Food Prices for Nutrition 1.1,FPN 1.1,Japan,JPN,2020,YR2020,..,..,5.808,..,..,..,..,..,..,..,..,..,5.186,..,..,..,..,2.7,126261000
Food Prices for Nutrition 1.1,FPN 1.1,Jordan,JOR,2020,YR2020,..,..,3.614,..,..,..,..,..,..,..,..,..,3.227,..,..,..,..,3.6,10928721
Food Prices for Nutrition 1.1,FPN 1.1,Kazakhstan,KAZ,2020,YR2020,..,..,2.657,..,..,..,..,..,..,..,..,..,2.372,..,..,..,..,1.9,18755666
Food Prices for Nutrition 1.1,FPN 1.1,Kenya,KEN,2020,YR2020,..,..,2.968,..,..,..,..,..,..,..,..,..,2.65,..,..,..,..,74.5,51985780
Food Prices for Nutrition 1.1,FPN 1.1,"Korea, Rep.",KOR,2020,YR2020,..,..,5.183,..,..,..,..,..,..,..,..,..,4.628,..,..,..,..,2.2,51836239
Food Prices for Nutrition 1.1,FPN 1.1,Kuwait,KWT,2020,YR2020,..,..,3.606,..,..,..,..,..,..,..,..,..,3.22,..,..,..,..,..,4360444
Food Prices for Nutrition 1.1,FPN 1.1,Kyrgyz Republic,KGZ,2020,YR2020,..,..,3.18,..,..,..,..,..,..,..,..,..,2.839,..,..,..,..,49.3,6579900
Food Prices for Nutrition 1.1,FPN 1.1,Lao PDR,LAO,2020,YR2020,..,..,4.141,..,..,..,..,..,..,..,..,..,3.697,..,..,..,..,74.3,7319399
Food Prices for Nutrition 1.1,FPN 1.1,Latin America & Caribbean,LCN,2020,YR2020,..,..,3.894,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.1,583891678
Food Prices for Nutrition 1.1,FPN 1.1,Latvia,LVA,2020,YR2020,..,..,3.24,..,..,..,..,..,..,..,..,..,2.893,..,..,..,..,1.8,1900449
Food Prices for Nutrition 1.1,FPN 1.1,Lesotho,LSO,2020,YR2020,..,..,4.266,..,..,..,..,..,..,..,..,..,3.809,..,..,..,..,86,2254100
Food Prices for Nutrition 1.1,FPN 1.1,Liberia,LBR,2020,YR2020,..,..,3.903,..,..,..,..,..,..,..,..,..,3.485,..,..,..,..,91.6,5087584
Food Prices for Nutrition 1.1,FPN 1.1,Lithuania,LTU,2020,YR2020,..,..,3.099,..,..,..,..,..,..,..,..,..,2.767,..,..,..,..,1.2,2794885
Food Prices for Nutrition 1.1,FPN 1.1,Low income,LIC,2020,YR2020,..,..,3.202,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.2,523220794
Food Prices for Nutrition 1.1,FPN 1.1,Lower middle income,LMC,2020,YR2020,..,..,3.701,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.4,3272808843
Food Prices for Nutrition 1.1,FPN 1.1,Luxembourg,LUX,2020,YR2020,..,..,2.661,..,..,..,..,..,..,..,..,..,2.376,..,..,..,..,0.1,630419
Food Prices for Nutrition 1.1,FPN 1.1,Madagascar,MDG,2020,YR2020,..,..,3.181,..,..,..,..,..,..,..,..,..,2.84,..,..,..,..,97.1,28225177
Food Prices for Nutrition 1.1,FPN 1.1,Malawi,MWI,2020,YR2020,..,..,3.149,..,..,..,..,..,..,..,..,..,2.812,..,..,..,..,95.7,19377061
Food Prices for Nutrition 1.1,FPN 1.1,Malaysia,MYS,2020,YR2020,..,..,3.538,..,..,..,..,..,..,..,..,..,3.159,..,..,..,..,2,33199993
Food Prices for Nutrition 1.1,FPN 1.1,Maldives,MDV,2020,YR2020,..,..,3.861,..,..,..,..,..,..,..,..,..,3.447,..,..,..,..,1.3,514438
Food Prices for Nutrition 1.1,FPN 1.1,Mali,MLI,2020,YR2020,..,..,3.053,..,..,..,..,..,..,..,..,..,2.726,..,..,..,..,70.3,21224040
Food Prices for Nutrition 1.1,FPN 1.1,Malta,MLT,2020,YR2020,..,..,3.769,..,..,..,..,..,..,..,..,..,3.365,..,..,..,..,0.7,515332
Food Prices for Nutrition 1.1,FPN 1.1,Mauritania,MRT,2020,YR2020,..,..,3.692,..,..,..,..,..,..,..,..,..,3.296,..,..,..,..,60.1,4498604
Food Prices for Nutrition 1.1,FPN 1.1,Mauritius,MUS,2020,YR2020,..,..,3.604,..,..,..,..,..,..,..,..,..,3.218,..,..,..,..,9.6,1265740
Food Prices for Nutrition 1.1,FPN 1.1,Mexico,MEX,2020,YR2020,..,..,3.293,..,..,..,..,..,..,..,..,..,2.94,..,..,..,..,24.5,125998302
Food Prices for Nutrition 1.1,FPN 1.1,Middle East & North Africa,MEA,2020,YR2020,..,..,3.37,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.5,414593143
Food Prices for Nutrition 1.1,FPN 1.1,Moldova,MDA,2020,YR2020,..,..,2.814,..,..,..,..,..,..,..,..,..,2.513,..,..,..,..,3.9,2635130
Food Prices for Nutrition 1.1,FPN 1.1,Mongolia,MNG,2020,YR2020,..,..,5.103,..,..,..,..,..,..,..,..,..,4.556,..,..,..,..,54,3294335
Food Prices for Nutrition 1.1,FPN 1.1,Montenegro,MNE,2020,YR2020,..,..,3.494,..,..,..,..,..,..,..,..,..,3.12,..,..,..,..,16,621306
Food Prices for Nutrition 1.1,FPN 1.1,Montserrat,MSR,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Morocco,MAR,2020,YR2020,..,..,2.797,..,..,..,..,..,..,..,..,..,2.497,..,..,..,..,18.9,36688772
Food Prices for Nutrition 1.1,FPN 1.1,Mozambique,MOZ,2020,YR2020,..,..,3.228,..,..,..,..,..,..,..,..,..,2.882,..,..,..,..,91.3,31178239
Food Prices for Nutrition 1.1,FPN 1.1,Myanmar,MMR,2020,YR2020,..,..,4.186,..,..,..,..,..,..,..,..,..,3.738,..,..,..,..,68.2,53423198
Food Prices for Nutrition 1.1,FPN 1.1,Namibia,NAM,2020,YR2020,..,..,3.52,..,..,..,..,..,..,..,..,..,3.143,..,..,..,..,57.8,2489098
Food Prices for Nutrition 1.1,FPN 1.1,Nepal,NPL,2020,YR2020,..,..,4.362,..,..,..,..,..,..,..,..,..,3.895,..,..,..,..,75.5,29348627
Food Prices for Nutrition 1.1,FPN 1.1,Netherlands,NLD,2020,YR2020,..,..,2.991,..,..,..,..,..,..,..,..,..,2.671,..,..,..,..,0.2,17441500
Food Prices for Nutrition 1.1,FPN 1.1,New Zealand,NZL,2020,YR2020,..,..,2.723,..,..,..,..,..,..,..,..,..,2.431,..,..,..,..,..,5090200
Food Prices for Nutrition 1.1,FPN 1.1,Nicaragua,NIC,2020,YR2020,..,..,3.335,..,..,..,..,..,..,..,..,..,2.978,..,..,..,..,35.5,6755895
